,Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,target
84,13684,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,455,3,1880,0.6,3,33063,0
85,3898,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3508,4,1975,0,7,6083,1
86,1421,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6252,2,1980,0,   .,34902,1
87,14863,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,663,3,1960,0,   .,94068,0
88,6035,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2150,3,1988,0,   .,64483,1
89,3842,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1040,1,1960,0,   .,50066,0
90,16680,2012,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,2186,3,1960,0,3,94068,1
91,6510,2013,"0,734246575",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,145,1,1988,0,   .,91174,0
92,9144,2016,1,1,O,V,V,V,V,V,V,V,V,V,V,V,N,base,2,432,4,,0,   .,6088,0
93,4177,2015,"0,167123288",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1885,2,1960,0,   .,95555,0
94,7067,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4000,3,1970,0,4,93032,1
95,4590,2013,"0,517808219",0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,1,1770,3,1770,1,7,38185,0
96,18786,2014,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1650,2,1978,0,6,65017,0
97,12732,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,770,3,1988,0,   .,92050,0
98,10376,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2300,2,1988,0,   .,90052,1
99,3529,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,3400,2,1974,0.3,4,14365,1
100,14135,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,2,1960,0,   .,13204,0
101,19114,2013,"0,97260274",0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,2100,1,2007,0,3,42189,0
102,13632,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,2,1960,0,   .,78650,0
103,13300,2014,"0,832876712",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400,2,1960,0,   .,38416,0
104,7760,2013,"0,495890411",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1200,2,1980,0,   .,68315,0
105,10984,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500,4,1980,0,   .,6029,1
106,18962,2014,"0,915068493",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,300,3,1930,0.3,2,94058,0
107,18240,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1831,2,1984,0,3,78117,0
108,4394,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500,4,1980,0,   .,6121,1
109,8423,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650,2,1960,0,   .,13201,0
110,3499,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,100,2,1980,0,   .,77100,0
111,10726,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,584,2,1960,0,   .,13202,0
112,7686,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3550,1,1988,0,   .,74278,1
113,12026,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,530,1,1988,0,   .,74182,0
114,10100,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,240,4,1922,0,3,6083,0
115,6725,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2460,1,1988,0,   .,74143,1
116,6492,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2316,1,2003,0,2,17028,0
117,12548,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500,4,1960,0,   .,75113,1
118,12972,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,10818,3,1988,0,   .,94002,1
119,15850,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,237,1,1950,0,3,74056,0
120,16890,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3500,4,1963,0.6,5,6155,1
121,6488,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1380,1,1955,0,8,87085,0
122,10456,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2000,3,1970,0.6,6,2A004,0
123,6645,2014,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,370,3,1800,0,4,33063,0
124,16756,2015,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,287,1,2002,0,4,35288,0
125,15070,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,883,1,1980,0,   .,74224,0
126,12216,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2001,2,1980,0,   .,59017,1
127,6770,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,2,,0,   .,31555,0
128,10660,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,352,2,1960,0,   .,13206,0
129,8376,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,1100,3,1900,0.3,4,2A004,0
130,15612,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1980,V,   .,,0
131,12200,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,970,4,1960,0,   .,6012,1
132,13734,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,2,1960,0,   .,13205,0
133,17668,2013,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1077,4,1981,0,3,6004,1
134,883,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1006,4,,0,   .,75119,1
135,715,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,520,2,1960,0,   .,56260,0
136,18881,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1250,2,1978,0,2,65017,0
137,10756,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,4,1960,0,   .,6027,0
138,1730,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,972,2,1980,0,   .,78311,0
139,6362,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,1,1960,0,   .,45234,0
140,1484,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6000,2,1980,0,   .,34902,1
141,6584,2013,"0,967123288",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1075,3,1988,0,   .,33522,0
142,18631,2014,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2000,2,1979,0,4,65017,0
143,9695,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1700,2,1960,0,   .,13207,1
144,13966,2015,0,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2050,2,1960,0,3,13206,0
145,6632,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1700,4,1960,0,   .,75114,1
146,14112,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,860,3,1980,0,   .,93066,0
147,5589,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2200,3,1900,0.3,6,54395,0
148,1883,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,540,2,,0,   .,38185,0
149,6423,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,1,1980,0,   .,86194,0
150,4309,2012,1,1,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,pi,2,300,2,1950,0,3,51454,0
151,10049,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1257,2,,0,   .,80021,1
152,9611,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100,2,1960,0,   .,13201,0
153,3392,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,1,1980,0,   .,33933,0
154,733,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,1300,4,,0,   .,75104,1
155,19887,2016,"0,75136612",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4314,2,2000,0.6,3,83115,0
156,16346,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2300,2,1988,0,2,80228,0
157,18840,2015,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,1750,1,1973,0,4,10333,0
158,3213,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,410,2,1960,0,   .,13203,0
159,17208,2014,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,775,4,1875,0,5,75109,0
160,13423,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,3,1980,0,   .,64445,0
161,2810,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4510,2,1980,0,   .,68149,1
162,16667,2012,1,0,V,N,3,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,V,2,4250,4,1972,0.3,5,6029,1
163,4652,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2672,3,1930,0,5,94041,1
164,6399,2012,"0,756830601",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1118,4,,0,   .,75103,0
165,19069,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3768,1,2012,0.3,5,54323,0
166,6123,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750,3,1960,0,   .,92048,0
167,16716,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1000,4,1974,0.6,5,6012,1
168,8806,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,730,2,1960,0,   .,69191,0
169,16386,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,725,2,2005,0,4,78650,0
170,12083,2013,"0,493150685",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250,3,,0,   .,33063,0
171,3784,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,2,1960,0,   .,51454,0
172,2567,2013,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2650,2,1960,0,5,63113,1
173,12169,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,195,2,1960,0,   .,95018,0
174,12079,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4000,3,1980,0,   .,92024,1
175,11914,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,820,4,1980,0,   .,6088,0
176,18511,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600,1,2012,0.6,2,13039,0
177,14430,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,2,1960,0,   .,77288,0
178,15677,2016,"0,99726776",0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,842,1,1550,0.3,4,1305,0
179,9186,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500,4,,0,   .,6083,1
180,15159,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1163,4,1900,0,6,75109,1
181,5212,2014,"0,915068493",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,1,1960,0,   .,54547,0
182,4048,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,600,2,1950,0.6,2,76758,0
183,7645,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4000,4,1980,0,   .,6004,1
184,15987,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3020,1,2006,0,4,13077,0
185,18531,2012,"0,584699454",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,140,2,1700,0,4,83119,0
186,15616,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,200,3,1900,0.3,4,94015,0
187,13795,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,1,1960,0,   .,54184,0
188,1840,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,810,2,1960,0,   .,69389,0
189,19468,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,2366,2,2008,0.6,2,77215,0
190,750,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,425,4,1950,0,2,6004,0
191,13006,2013,"0,665753425",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3900,2,1988,0,   .,83034,1
192,11198,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3680,1,1988,0,   .,17300,1
193,14398,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3928,4,1980,0,   .,6161,1
194,14906,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,840,2,1980,0,   .,62571,0
195,5962,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,446,2,1960,0,   .,26362,0
196,8148,2013,"0,534246575",0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,1,400,1,1980,0,4,5161,0
197,12799,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2000,1,1980,0,   .,74058,0
198,9660,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1260,2,1960,0,   .,13204,1
199,1938,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,460,2,1980,0,   .,34324,0
200,10907,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1360,2,,0,   .,31555,1
201,12063,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,415,2,1960,0,   .,13203,0
202,1022,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,1,1980,0,   .,74042,0
203,17187,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,400,2,1978,0,3,34150,0
204,14347,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,500,2,2007,0,3,66130,0
205,3258,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,13777,1,1980,0,   .,86194,1
206,16553,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,4476,2,1998,0,>=10,42218,1
207,6648,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,2,,0,   .,51454,0
208,9095,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800,3,,0,   .,59350,0
